livro,Capítulo,Verso inicial,Verso final,Obra,Capítulo,Tipo de Referência,Citação,
Jeremias,20,7,7,Rumos Libertadores,29 - Destinação gloriosa,Direta com indexação do AT,,
Jó,1,1,12,Em Busca da Verdade,8 - A busca do significado ; os sofrimentos no mundo,Indireta,,
Jó,Livro todo,,,Psicologia da Gratidão,5 - A gratidão como roteiro de vida,Indireta,,
Jó,22,28,28,Rumos Libertadores,23 - Impulsos e vontade,Direta sem indexação do AT,,
Salmos,8,1,1,Celeiro de Bênçãos,Prémio (prefácio),Direta sem indexação do AT,,
Salmos,19,1,1,Dimensões da Verdade,55 - Feitiços,Direta sem indexação do AT,,
Salmos,19,1,1,Iluminação Interior,1 - Presença divina,Direta sem indexação do AT,,
Salmos,46,11,11,O amor como solução,30- Paz na Terra,Indireta,"Deus, para ambos os grupos, era o Senhor dos Exércitos...",
Salmos,"7,12, 35,58, 59, 60, 70, 83, 109, 137, 140",Salmos imprecatórios,,Tesouros Libertadores,4- A benção da esperança,Indireta,"No Saltério incerto no Velho Testamento, encontramos os denominados salmos imprecatórios , em que os profetas clamavam por vingança, praguejavam e ameaçavam dirigindo-se ao Deus dos exércitos. ",
Mateus,1,34,34,Fonte de Luz,18 - Fama,Indireta,"Se elegeste a diretriz de Jesus-Cristo para a tua existência, vive em consonância com as Suas propostas libertadoras",
Mateus,2,1,1,Momentos de Harmonia,14 – O tempo,Indireta,"O tempo demonstrou que o triunfo de Herodes, de Anás, de Caifás, de Pilatos, contra Jesus, foi uma ilusão de breves momentos",
Mateus,2,1,3,Tesouros Libertadores,1 - Renovadas Esperanças,Indireta,"Foi nesse clima histórico de hediondez que nasceu Jesus numa noite estrelada, após deixar o sólio do Altíssimo. ",
Mateus,2,1,11,Iluminação Interior,30 - Sublime natal,Indireta,,
Mateus,2,1,12,O amor como solução,30 - Paz na Terra,Indireta,Logo recebeu a visita de pastores anônimos e de reis magos que O homenagearam...,
Mateus,2,3,16,Momentos de Meditação,19 -Ante paixões,Indireta,A paixão de Herodes pelo trono e a de Jesus pela Verdade possuíam a mesma intensidade...,
Mateus,3,1,3,Ilumina-te,5 - Tesouro inapreciável,Indireta,"Quando João, o Batista, começou a proclamar que era chegada a hora...",
Mateus,3,1,4,Liberta-te do Mal,Cm estoicismo,Indireta,Não importa que sejas uma voz que clama no deserto...,
Mateus,3,1,10,Ilumina-te,1 - Em pleno deserto,Indireta,"Antecipando o ministério de Jesus, João buscou a solidão do deserto...",
Mateus,3,2,*,Tesouros Libertadores,Prefácio,Direta sem indexação do NT,,
Mateus,3,7,10,Rejubila-te em Deus,  2 – Discrepâncias e traições,Indireta,"O Mestre, no entanto, sempre compassivo, suportava-os por misericórdia, mas, quando necessário, utilizava-se da energia que desmascarava a hipocrisia...",
Mateus,3,17,17,Desperte e Seja Feliz,,,,
Mateus,4,1,2,Rejubila-te em Deus,24 – Conquista interior,Indireta,"Mesmo Jesus, o Excelente Filho de Deus... buscou o deserto para manter-se em união com o Pai...",
Mateus,4,1,2,Ilumina-te, 1 - Em pleno deserto,Indireta,"O incomparável Rabi, enfrentando as multidões esfaimadas e de amor e de paz, demandou o deserto por quarenta dias...",
Mateus,4,1,11,Desperte e Seja Feliz,5 - Enfrentando tentações,Indireta,,
Mateus,4,1,11,Luz nas Trevas,6 - A Benção do Silêncio,Indireta,"Sempre que a multidão insaciável afligia o Mestre, ele buscava o deserto, renovando as forças para prosseguir. E foi lá, no grande silêncio, que viveu as tentações.",
Mateus,4,1,11,Tesouros Libertadores,6- Lições Libertadoras,Indireta,Ele foi testado de variadas formas,
Mateus,4,4,4,Alegria de Viver,15 - Riquezas da vida,Direta sem indexação do NT,,
Mateus,4,4,4,Celeiro de Bênçãos,13 - Nós e Jesus,Direta sem indexação do NT,,
Mateus,4,4,4,Vida Feliz,XCIV,Direta sem indexação do NT,,
Mateus,4,12,13,Sob a proteção de Deus, 14 – Onde te encontres,Indireta,"Jesus abandonou Sua cidade e os Seus, a fim de viver com os outros...",
Mateus,4,18,20,Fonte de Luz, 15 - Enredamentos perigosos,Indireta,"Jesus conhecia a fraqueza moral de Pedro, todavia convidou-o para o banquete da Boa Nova",
Mateus,4,18,20,Momentos enriquecedores, 4 -Necessário despertar,Indireta,"Não foi fácil a Simão Pedro transferir-se do mar da Galileia, onde pescava com simplicidade...",
Mateus,4,19,19,Convites da Vida,20 - Convite ao Evangelho,Epígrafe,,
Mateus,4,19,19,Vidas Vazias,10 - Divertimento e Futilidades,Direta sem indexação do NT,"Todo o Evangelho de Jesus é um hino de beleza, de esperança, de edificação e de ternura beneficiando o mundo.",
Mateus,4,23,23,Momentos de esperança, 17 – A César e a Deus,Indireta,,
Mateus,4,23,25,Liberta-te do Mal,Beneficência e promoção humana,Indireta,Ele afirmou: -Vinde comigo e eu vos farei pescadores de homens (e mulheres).,
Mateus,4,23,25,Rejubila-te em Deus, 4 – A confiança,Indireta,,
Mateus,4,23,25,Rejubila-te em Deus, 12 – Água e sabedoria,Indireta,"Recolhe a rede dos divertimentos e atira-a no oceano humano, aquela que consegue a salvação de vidas.",
Mateus,5-7,-,-,Libertação do Sofrimento,2 - Efeitos da fé religiosa,Indireta,,
Mateus,5-7,-,-,Benesses Natalina,6 - O Natal de Jesus,Indireta,A partir da sinfonia do Sermão da Montanha apresentou às criaturas de todos os tempos uma nova maneira de compreender o Pai e de comportar-se em relação ao seu próximo. ,
Mateus,6-7,-,-,Benesses Natalina,10 - Vivência de Natal,Indireta,... agigantou-se na musicalidade dos Seus ditos e dos Seus feitos...,
Mateus,6-7,-,-,Tesouros Libertadores,5 - Reino de Deus,Indireta,"Em razão dessa visão superior, Ele apresentou o Sermão da Montanha, que se tornou o mais admirável código de ética e moral conhecido ate hoje.",
Mateus,5,1,1,Momentos de Meditação,12 – Resguarda-te na paz,Indireta,"Jesus, na montanha das Bem-Aventuranças, ou no Getsémani, ou no Gólgota, manteve a mesma paz, em razão da certeza de saber que Deus estava com ele, e, por consequência, ele estava com Deus",
Mateus,5,1,12,Tesouros Libertadores,6 - Lições libertatoras ,Indireta,Todo o capítulo comenta o Sermão. ,
Mateus,5,1,12,Tesouros Libertadores,9 - Harmonia na Dor,Direta ,"Na montanha involdivável, onde ele apresentou a sinfonia ímpar das bem-aventuranças, tudo é harmonia...",
Mateus,5,1,12,Entrega-te a Deus, 2 – Sementes de luz,Indireta,"Semeia, pois, cantando o Sermão das bem-aventuranças...",
Mateus,5,1,12,Ilumina-te,   15 - A Sublime canção,Indireta,A sinfonia das bem-aventuranças...,
Mateus,5,1,12,Ilumina-te,25 - Simplicidade e pureza de coração,Indireta,"(...) como no sermão das bem-aventuranças, no sermão profético, no dai a César o que é de César e a Deus o que é de Deus, no diálogo com Nicodemos, nas lições sobre a oração e a vigilância, os falsos profetas, dentre muitas...",
Mateus,5,1,12,Momentos de Saúde e de Consciência,16 – Serenidade ,Indireta,A glória da imortalidade apresentada na ressureição do Mestre...,
Mateus,5,1,12,Momentos de Sublimação, 30 – Sublimidade do amor,Indireta,(...) porém cantando o hino incomparável das Bem-aventuranças...,
Mateus,5,1,12,Segue em Harmonia, 15 – Sabedoria e amor,Indireta,Não será necessária uma severa mudança (...) com as lições sublimes das Bem-aventuranças.,
Mateus,5,1,12,Sob a proteção de Deus,  26 – O amor,Indireta,"Na montanha, o canto das bem-aventuranças, proferido por Jesus...",
Mateus,5,1,12,Libertação do Sofrimento,7 - A presença de Jesus,Indireta,,
Mateus,5,1,12,Jesus e Atualidade,Apresentação,Indireta,"O Sermão da Montanha, considerado a ""carta mágna dos direitos humanos""",
Mateus,5,1,12,Vidas Vazias,8 - Sob qualquer aspecto,Indireta,"Quando Ele tornou bem-aventurados os pobres de espírito, os humildes e os simples de coração, os que sofrem injustiças, os esquecidos, reverteu as determinações enganosas, encontrando-se ainda hoje reações violentas dos imprevidentes e ricos de vanglória.",
Mateus,5,1,12,Vidas Vazias,18 - Sempre é Natal,Indireta,"Exaltou a ternura e, na incomparável canção da Bem-aventuranças, ofereceu o mais expressivo legado de beleza e vida que se conhece.",
Mateus,5,1,12,Viver e Amar,11 - O reverso,Direta sem indexação do NT,,
Mateus,5,1,48,Luz nas Trevas,19 - Glória incomum,Indireta,"Misturou-se à multidão esfaimada, enferma e desprezada, criando uma nova ordem de valores e de sociedade sob o beneplácito do amor, então desconhecido.
 Semeou a compaixão e a misericórdia nos corações empedernidos, dando início à cultura da fraternidade sem jaça e
 da alegria transcendental.",
Mateus,5,1,48,Momentos de iluminação,   6 – A consciência de si mesmo,Indireta,"Jesus, consciente da missão que veio desempenhar na Terra, conclamou as massas à responsabilidade, aos elevados significados da vida...",
Mateus,5,1,48,O Ser Consciente,1 - A Quarta Força,Indireta,"""...qual aquele estatuído do decálogo e no Sermão do Monte",
Mateus,5,*,*,Tesouros Libertadores,Prefácio,Direta sem indexação do NT,,
Mateus,5,3,3,Alegria de Viver,20 - Natal íntimo,Epígrafe,Nosso Pai,
Mateus,5,3,3,Momentos de Renovação, 6 -Riqueza da pobreza,Direta sem indexação do NT,Bem aventurados os pobres de espírito,
Mateus,5,3,3,Florações Evangélicas,8 - Presunção,Epígrafe,,
Mateus,5,3,3,Ilumina-te,25 - Simplicidade e pureza de coração,Direta ,"(...) como no sermão das bem-aventuranças, no sermão profético, no dai a César o que é de César e a Deus o que é de Deus, no diálogo com Nicodemos, nas lições sobre a oração e a vigilância, os falsos profetas, dentre muitas...",
Mateus,5,3,3,Viver e Amar,11 - O reverso,Direta sem indexação do NT,,
Mateus,5,3,11,Tesouros Libertadores,1 - Renovadas Esperanças,Direta sem indexação do NT,"Ao escolher um monte nas cercanias do mar da Galileia como cenário de beleza ímpar, ele cantou as Bem-aventuranças, o mais perfeito código de ética moral e de  comportamento que prossegue ressoando através dos últimos dois milênios nas mentes e nos sentimentos humanos. ",
Mateus,5,3,12,Momentos de felicidade,  2 – Fenômenos inexoráveis ,Indireta,Bem-aventurados aqueles que expungem na Terra,
Mateus,5,3,12,Tesouros Libertadores,25 - A dádiva do silêncio,Indireta,"...o teu reino dos Céus, prometido por Jesus. ",
Mateus,5,3,12,Tesouros Libertadores,9- Harmonia na dor,Indireta,"Escuta-lhe a musicalidade das bem-aventuranças, abraça a tua cruz e segue adiante, certo de que a plantarás com êxito no topo do calvário de libertação. ",
Mateus,5,3,12,Luz Viva,22 - Humildade Real,Direta sem indexação do NT,... cântico das bem-aventuranças,
Mateus,5,4,4,Lampadário Espírita,59 – Ainda a melancolia,Direta sem indexação do NT,Bem-aventurados os que sofrem...,
Mateus,5,4,4,Alegria de Viver,1 - Aflições,Epígrafe,,
Mateus,5,4,4,Alerta,27 - Nem todos consolados,Direta sem indexação do NT,,
Mateus,5,4,4,Conflitos Existenciais,8 - Ansiedade ; terapia para a ansiedade,Direta,,
Mateus,5,4,4,Florações Evangélicas,16 - Desgraças terrenas,Epígrafe,,
Mateus,5,4,4,Messe de Amor,41 - Aflições,Direta sem indexação do NT,,
Mateus,5,4,4,Rumos Libertadores,5 - Aflição e consolação,Direta sem indexação do NT,,
Mateus,5,5,5,Tesouros Libertadores,6- Lições Libertadoras,Indireta,"Trata-se de uma exaltação dos que eram rebaixados, de uma advertência aos poderosos quanto equivocados se encontravam e ainda permanecem no engodo. ",
Mateus,5,5,5,Alegria de Viver,2- Precipitação e paciência,Epígrafe,,
Mateus,5,5,5,Após a Tempestade,2 - Desprezo à fé,Indireta,,
Mateus,5,5,5,Espírito e Vida,40 - Fraternidade,Direta sem indexação do NT,,
Mateus,5,5,5,Entrega-te a Deus,3 - Agressividade,Direta,"(...) Bem aventurados os mansos, porque herdarão a Terra",
Mateus,5,5,5,Rejubila-te em Deus, 20 – Convulsões morais,Indireta,"A mansuetude e a doçura do coração, a que se refere o Evangelho de Jesus...",
Mateus,5,5,5,Otimismo,40 - Mansidão e piedade,Direta sem indexação do NT,,
Mateus,5,5,5,Rumos Libertadores,20 - Injúrias e violências,Direta sem indexação do NT,,
Mateus,5,6,6,Tesouros Libertadores,1 - Renovadas Esperanças,Direta sem indexação do NT,"Ele abriu os braços e envolveu os deventurados em doce amplexo de ternura incomum, atendeu as criancinhas ingênuas, os enfermos desditosos, as mulheres equivocadas e todos aqueles que tinham fome e sede de justiça e de misericórdia. ",
Mateus,5,6,6,Alegria de Viver,3 - O tenaz esforço,Epígrafe,,
Mateus,5,6,6,Jesus e Vida,8 - Armadilhas,Indireta,,
Mateus,5,6,6,Jesus e o Evangelho à luz da Psicologia...,6 - A desgraça real,Epígrafe,,
Mateus,5,6,6,Viver e Amar,,,,
Mateus,5,7,7,Alegria de Viver,4 - Realização em caridade,Epígrafe,,
Mateus,5,8,8,Alegria de Viver,5 - Corpo e alma,Epígrafe,,
Mateus,5,8,8,Atitudes Renovadas,23 - Viver com simplicidade,Direta sem indexação do NT,,
Mateus,5,8,8,Convites da Vida,44 - Convite à Pureza,Epígrafe,,
Mateus,5,8,8,Florações Evangélicas,33 - Um coração afável,Epígrafe,,
Mateus,5,8,8,Ilumina-te,25 - Simplicidade e pureza de coração,Direta,"(...) como no sermão das bem-aventuranças, no sermão profético, no dai a César o que é de César e a Deus o que é de Deus, no diálogo com Nicodemos, nas lições sobre a oração e a vigilância, os falsos profetas, dentre muitas...",
Mateus,5,9,9,Alegria de Viver,6 - A força de Deus,Epígrafe,"Bem-aventurados os pacificadores, porque eles serão chamados de filhos de Deus.",
Mateus,5,9,9,Rejubila-te em Deus, 20 – Convulsões morais,Indireta,"Na montanha, Jesus tornou bem-aventurados os mansos e pacíficos e humildes, elegendo-os como filhos de Deus.",
Mateus,5,9,9,Jesus e o Evangelho à luz da Psicologia...,10 - A paciência,Epígrafe,"Bem-aventurados os pacificadores, porque eles serão chamados de filhos de Deus.",
Mateus,5,9,9,Rumos Libertadores,20 - Injúrias e violências,Epígrafe e ao final,"Bem-aventurados os pacificadores, porque eles serão chamados de filhos de Deus.",
Mateus,5,10,10,Tesouros Libertadores,6 - Lições Libertadoras,Indireta,"Trata-se de uma exaltação dos que eram rebaixados, de uma advertência aos poderosos quanto equivocados se encontravam e ainda permanecem no engodo.",
Mateus,5,10,10,Sol de Esperança,26 - Irmãos Perseguidos,Direta sem indexação do NT,"... consolando, entretanto, que são ""bem-aventurados os que sofrem perseguição por amor à justiça e à verdade.""",
Mateus,5,10,10,Alegria de Viver,7 - Momento inesperado,Epígrafe,,
Mateus,5,10,10,Jesus e Atualidade,10 - Jesus e Coragem,Indireta,Em dúvida atroz ou perseguido ,
Mateus,5,11,11,Alegria de Viver,8 - Momento de avaliação,Epígrafe,,
Mateus,5,11,11,Florações Evangélicas,22 - Incompreensão e fidelidade,Epígrafe,,
Mateus,5,12,12,Alegria de Viver,9 - Morte com dignidade,Epígrafe,,
Mateus,5,13,13,Vida: Desafios e Soluções, 6 - Aspectos da Vida,Indireta,Isso está demonstrado,
Mateus,5,13,13,Responsabilidade,1 - Critério de observação,Epígrafe,,
Mateus,5,14,14,Responsabilidade,2 - Previdência espiritual,Epígrafe,,
Mateus,5,15,15,Convites da Vida,Epígrafe,Epígrafe,,
Mateus,5,16,16,Alerta,23 - Brilhe tua luz,Indireta,,
Mateus,5,16,16,Atitudes Renovadas,15 - Que brilhe a tua luz!,Direta sem indexação do NT,,
Mateus,5,16,16,Florações Evangélicas,17 - Ante a dor,Epígrafe,,
Mateus,5,16,16,Tesouros Libertadores,29 - Brilhe a tua luz,Direta sem indexação do NT,Brilhe a tua luz,
Mateus,5,16,16,Luz da Esperança,27 - Verdade e luz,Direta sem indexação do NT,,
Mateus,5,17,17,Após a Tempestade,22 - Fantasias espirituais,Indireta,,
Mateus,5,17,17,Espírito e Vida,50 - Luta e libertação,Indireta,,
Mateus,5,17,17,Estudos Espíritas,10 - Lei,Indireta,,
Mateus,5,17,17,Jesus e o Evangelho à luz da Psicologia...,1 - Soberanas leis,Epígrafe,,
Mateus,5,17,17,Messe de Amor,Apresentação,Direta sem indexação do NT,,
Mateus,5,20,20,Alegria de Viver,10 - Paciência antes da crise,Epígrafe,,
Mateus,5,20,20,Jesus e Atualidade,7 -Jesus e Justiça,Indireta,"Propôs que a nossa não fosse a ""justiça dos fariseus""...",
Mateus,5,22,22,Florações Evangélicas,35 - Cizânia,Epígrafe,,
Mateus,5,25,25,Dimensões da Verdade,53 - Antes de tudo perdão,Direta,,
Mateus,5,25,25,Garimpo de Amor,24 - Amor e conciliação,Direta sem indexação do NT,,
Mateus,5,25,26,Triunfo Pessoal,9 - O significado existencial,Direta,,
Mateus,5,26,26,Liberta-te do Mal,Crianças de uma nova era,Indireta,"Não foi por outra razão que o Mestre de Nazaré elucidou com ênfase, que nenhuma das ovelhas que o Pai lhe confiou se perderia, adindo, oportunamente, porém, que ninguém entraria no reino dos Céus sem pagar a dívida até o último centavo...",
Mateus,5,26,26,Jesus e o Evangelho à luz da Psicologia...,11 - Reconciliação,Epígrafe,,
Mateus,5,28,28,Em Busca da Verdade,9 - Busca interior ; Pensamento e ação,Direta,,
Mateus,5,30,30,Florações Evangélicas,34 - Acidentes,Epígrafe,,
Mateus,5,31,32,Tesouros Libertadores,6 - Lições Libertadoras,Indireta,"Na continuação dos conceitos confortadores, exprobou o adultério (...)",
Mateus,5,34,35,Tesouros Libertadores,6 - Lições Libertadoras,Indireta,"Na continuação dos conceitos confortadores, exprobou (..) os falsos juramentos (...)",
Mateus,5,37,37,Tesouros Libertadores,6 - Lições Liebertadoras,Indireta,"Na continuação dos conceitos confortadores, exprobou (...) a intemperança (...)",
Mateus,5,37,37,Alegria de Viver,11 - Instrumento divino,Epígrafe,,
Mateus,5,37,37,Momentos de Saúde e de Consciência,Prefácio - Momentos de Saúde,Indireta,"Psicoterapeuta incomum, propôs o autoexame em forma de receita para aquisição da paz, como decorrência das propostas de amor a Deus acima de todas as coisas e ao próximo como a si mesmo",
Mateus,5,37,37,Luz da Esperança,35 - A mentira,Direta,,
Mateus,5,38,38,Compromissos de Amor,25 - O amor e a eternidade,Indireta,,
Mateus,5,39,39,Mundo Regenerado,5 - Resistência ao Mal,Indireta,"Ensinou-nos Jesus a não resistirmos ao mal, o que faculta a alguns discípulos apressados do Evangelho acreditarem na impossibilidade de serem vitoriosos na luta de aprimoramento moral. ",
Mateus,5,39,39,Mundo Regenerado,5 - Resistência ao Mal,Direta sem indexação do NT,Não resistas ao mal,
Mateus,5,39,39,Mundo Regenerado,5 - Resistência ao Mal,Indireta,"Não resistas, pois, ao mal, dilui-o nas blandícias do bem.  ",
Mateus,5,39,39,Tesouros Libertadores,6 - Lições Libertadoras,Indireta,(...) traçou linhas de conduta que complementam a Lei e a tradição. ,
Mateus,5,39,39,Alegria de Viver,12 - Teu óbolo,Epígrafe,,
Mateus,5,39,39,Atitudes Renovadas,14 - Resistência ao mal,Direta sem indexação do NT,,
Mateus,5,39,39,Atitudes Renovadas,17 - Compaixão sempre,Indireta,,
Mateus,5,39,39,Atitudes Renovadas,27 - A outra face,Direta,,
Mateus,5,39,39,Convites da Vida,5 - Convite à Calma,Epígrafe,,
Mateus,5,39,39,Em Busca da Verdade,8 - A busca do significado ; o bem e o mal,Indireta,,
Mateus,5,39,39,Sementeira da Fraternidade,  35 – A outra face,Indireta ,"... E Jesus apresentou, também, Ele mesmo, a outra face, não se permitindo o revide...",
Mateus,5,39,39,Jesus e o Evangelho à luz da Psicologia...,15 - A vingança,Epígrafe,,
Mateus,5,39,39,Receitas de Paz,18 -Agressão,Direta,,
Mateus,5,40,40,Sol de Esperança,10 - Todos irmãos,Direta sem indexação do NT,"""Dar a capa a quem pede a manta.""... Unicamente pela prática da caridade, o homem se realiza, lobrigando a plenitude do amor com Ele a todos nos ama. ",
Mateus,5,40,41,Momentos de Esperança, 3 – Níveis de consciência,Direta sem indexação do NT,"Estabelece Jesus: se alguém te pedir a capa, dá-lhe também a manta, e se de solicitarem seguir mil passos, vai, tranquilo, dois mil",
Mateus,5,40,42,Alerta,54 - Balanço e orçamento,Direta sem indexação do NT,,
Mateus,5,40,42,Ilumina-te,2 - Identidade com Jesus,Indireta,"... de seguir mil passos a mais ao lado daquele que lhe solicita a companhia por apenas mil, de dar o manto a quem necessita somente da capa, de despir-se da ostentação, .....",
Mateus,5,41,41,Alegria de Viver,14 - Mediante esforço,Epígrafe,,
Mateus,5,41,41,Sol de Esperança,10 - Todos irmãos,Direta sem indexação do NT,"""Marchar dois mil passos ao lado de quem lhe pede seguir mil.""...Unicamente pela prática da caridade, o homem se realiza, lobrigando a plenitude do amor com Ele a todos nos ama. ",
Mateus,5,42,42,Alegria de Viver,15 - Riquezas da vida,Epígrafe,,
Mateus,5,44,44,Tesouros Libertadores,6 - Lições Libertadoras,Direta,"Eu, porém, vos digo: Amai a vossos inimigos, bendizei os que vos maldizem, fazei bem aos que vos odeiam, e orai pelos que vos maltratam e vos perseguem; para que sejais filhos do vosso Pai que está nos céus",
Mateus,5,44,44,Alegria de Viver,16 - Necessidade da meditação,Epígrafe,,
Mateus,5,44,45,Psicologia da Gratidão,3 - Compromissos da gratidão,Direta,,
Mateus,5,48,48,Alegria de Viver,17 - Viver agora,Epígrafe,,
Mateus,5,48,48,Celeiro de Bênçãos,46 - Transes morais,Direta sem indexação do NT,,
Mateus,5,48,48,Convites da Vida,13 - Convite ao Dever,Epígrafe,,
Mateus,5,48,48,Em Busca da Verdade,4 - Experiências de iluminação ; sair de si mesmo,Indireta,,
Mateus,5,48,48,O Ser Consciente,10 - Conquista de si mesmo,Indireta ,,
Mateus,5,48,48,Vidas Vazias,17 - Bençãos da Imortalidade,Direta sem indexação do NT,"Jesus afirmou com sabedoria: “Sede perfeitos, como o Pai é perfeito”, estabelecendo ser Ele o caminho que se deveria percorrer para alcançar o êxito.",
Mateus,5,48,48,Jesus e o Evangelho à luz da Psicologia...,24 - Perfeição,Epígrafe,,
Mateus,5,48,48,Em Busca da Iluminação Interior,4 - Provas e expiações,Direta sem indexação do NT,,
Mateus,6,1,1,Florações Evangélicas,58 - Piedade fraternal,Epígrafe,,
Mateus,6,1,1,Jesus e o Evangelho à luz da Psicologia...,18 - A beneficência,Epígrafe,,
Mateus,6,6,6,Alegria de Viver,18 - Na luz da oração,Epígrafe,,
Mateus,6,6,6,Jesus e Atualidade,16 Jesus e Repouso,Indireta,Basta entrar no quarto...,
Mateus,6,9,9,Entrega-te a Deus, 27 - As bençãos da alegria,Indireta,Jesus é o exemplo mais elevado que se conhece do amor e da alegria de viver... apresentando-o como o Pai todo amor e misericórdia ...,
Mateus,6,9,9,Liberta-te do Mal,Deus banalizado,Indireta,"Considera-O como Jesus o fazia, nominando-O de Pai, em razão as Sua obra na qual todos nos encontramos.
 Demonstra-lhe a sua filiação, amando-O e ao teu próximo como a ti mesmo.",
Mateus,6,9,9,Rejubila-te em Deus, 1 – Deus,Indireta,"Docemente Jesus chamava-O Pai, numa expressão de infinita doçura e afabilidade...",
Mateus,6,9,13,Iluminação Interior,22 - Oração e cura,Indireta,,
Mateus,6,9,13,Tesouros Libertadores,5 - Reino dos Ceus,Indireta,Demonstrou que Deus eh o Genitor universal e jamais criaria duas humanidades.,
